SMILES,Sigma
O=C(O)c1cccc(B(F)F)c1,0.32
O=C(O)c1cccc(Br)c1,0.39
O=C(O)c1cccc([Ge](Br)(Br)Br)c1,0.66
O=C(O)c1cccc([Si](Br)(Br)Br)c1,0.48
O=C(O)c1cccc(Cl)c1,0.37
O=C(O)c1cccc([Hg]Cl)c1,0.33
O=C(O)c1cccc(S(=O)(=O)Cl)c1,1.2
O=C(O)c1cccc(SCl)c1,0.44
O=C(O)c1cccc(I(Cl)Cl)c1,1.1
O=C(O)c1cccc(P(=O)(Cl)Cl)c1,0.78
O=C(O)c1cccc(P(Cl)Cl)c1,0.54
O=C(O)c1cccc(P(=S)(Cl)Cl)c1,0.7
O=C(O)c1cccc([Ge](Cl)(Cl)Cl)c1,0.71
O=C(O)c1cccc([Si](Cl)(Cl)Cl)c1,0.48
O=C(O)c1cccc(F)c1,0.34
O=C(O)c1cccc([Hg]F)c1,0.34
O=C(O)c1cccc(S(=O)F)c1,0.74
O=C(O)c1cccc(S(=O)(=O)F)c1,0.8
O=C(O)c1cccc(I(F)F)c1,0.85
O=C(O)c1cccc(P(=O)(F)F)c1,0.81
O=C(O)c1cccc(P(F)F)c1,0.49
O=C(O)c1cccc([Ge](F)(F)F)c1,0.85
O=C(O)c1cccc(S(F)(F)F)c1,0.7
O=C(O)c1cccc([Si](F)(F)F)c1,0.54
O=C(O)c1cccc(I(F)(F)(F)F)c1,1.07
O=C(O)c1cccc(P(F)(F)(F)F)c1,0.63
O=C(O)c1cccc(S(F)(F)(F)(F)F)c1,0.61
O=C(O)c1cccc(I)c1,0.35
O=Ic1cccc(C(=O)O)c1,0.58
O=C(O)c1cccc(I(=O)=O)c1,0.68
O=Nc1cccc(C(=O)O)c1,0.62
O=C(O)c1cccc([N+](=O)[O-])c1,0.71
O=C(O)c1cccc(O[N+](=O)[O-])c1,0.55
N#[N+]c1cccc(C(=O)O)c1,1.76
O=C(O)c1cccc(N=[N+]([O-])[O-])c1,0.0
[N-]=[N+]=Nc1cccc(C(=O)O)c1,0.37
O=C(O)c1cccc([O-])c1,-0.47
O=C(O)c1cccc(S(=O)[O-])c1,-0.02
O=C(O)c1cccc(S(=O)(=O)[O-])c1,0.3
O=C(O)c1cccc([S-])c1,-0.36
O=C(O)c1cccc([As](=O)([O-])O)c1,0.0
O=C(O)c1ccccc1,0.0
O=C(O)c1cccc(N[N+](=O)[O-])c1,0.91
O=C(O)c1cccc(O)c1,0.12
O=C(O)c1cccc(S(=O)O)c1,-0.04
O=C(O)c1cccc(P(=O)([O-])O)c1,0.2
O=C(O)c1cccc(OP(=O)([O-])O)c1,0.29
O=C(O)c1cccc(S)c1,0.25
O=C(O)c1cccc(B(O)O)c1,-0.01
Nc1cccc(C(=O)O)c1,-0.16
O=C(O)c1cccc(NO)c1,-0.04
NS(=O)(=O)c1cccc(C(=O)O)c1,0.53
O=C(O)c1cccc(P(=O)(O)O)c1,0.36
O=C(O)c1cccc(P)c1,0.06
O=C(O)c1cccc([B-](O)(O)O)c1,-0.48
O=C(O)c1cccc([GeH3])c1,0.0
[NH3+]c1cccc(C(=O)O)c1,0.86
NNc1cccc(C(=O)O)c1,-0.02
O=C(O)c1cccc([SiH3])c1,0.05
O=C(O)c1cccc(C(Br)(Br)Br)c1,0.28
O=C(O)c1cccc(C(F)(F)Cl)c1,0.42
O=C(O)c1cccc(-n2nnnc2Cl)c1,0.6
O=C(O)c1cccc(C(=O)Cl)c1,0.51
O=C(O)c1cccc(N=C(Cl)Cl)c1,0.21
O=C(O)c1cccc(C(Cl)(Cl)Cl)c1,0.4
O=C(O)c1cccc(OC(Cl)(Cl)Cl)c1,0.43
O=C(O)c1cccc(C(=O)F)c1,0.55
O=C(O)c1ccc2c(c1)OC(F)(F)O2,0.36
