SMILES,Sigma,NBO_CC,NBO_SC,E(HOMO),E(LUMO)
O=C(O)c1cccc(B(F)F)c1,0.32,-0.183,-0.489,-0.28817,-0.08233
O=C(O)c1cccc(Br)c1,0.39,-0.162,-0.13,-0.26324,-0.07616
O=C(O)c1cccc([Ge](Br)(Br)Br)c1,0.66,-0.169,-0.515,-0.29236,-0.09336
O=C(O)c1cccc([Si](Br)(Br)Br)c1,0.48,-0.173,-0.577,-0.28562,-0.08182
O=C(O)c1cccc(Cl)c1,0.37,-0.162,-0.059,-0.26772,-0.07613
O=C(O)c1cccc([Hg]Cl)c1,0.33,-0.167,-0.419,-0.27979,-0.07527
O=C(O)c1cccc(S(=O)(=O)Cl)c1,1.2,-0.163,-0.317,-0.3077,-0.10901
O=C(O)c1cccc(SCl)c1,0.44,-0.175,-0.24,-0.25831,-0.11286
O=C(O)c1cccc(I(Cl)Cl)c1,1.1,-0.154,-0.236,-0.2878,-0.15229
O=C(O)c1cccc(P(=O)(Cl)Cl)c1,0.78,-0.169,-0.466,-0.30117,-0.09033
O=C(O)c1cccc(P(Cl)Cl)c1,0.54,-0.174,-0.425,-0.28374,-0.09287
O=C(O)c1cccc(P(=S)(Cl)Cl)c1,0.7,-0.169,-0.437,-0.27307,-0.09516
O=C(O)c1cccc([Ge](Cl)(Cl)Cl)c1,0.71,-0.169,-0.513,-0.29842,-0.08787
O=C(O)c1cccc([Si](Cl)(Cl)Cl)c1,0.48,-0.164,-0.599,-0.29612,-0.08562
O=C(O)c1cccc(F)c1,0.34,-0.159,0.406,-0.27238,-0.07512
O=C(O)c1cccc([Hg]F)c1,0.34,-0.169,-0.441,-0.27758,-0.0695
O=C(O)c1cccc(S(=O)F)c1,0.74,-0.169,-0.309,-0.29011,-0.0938
O=C(O)c1cccc(S(=O)(=O)F)c1,0.8,-0.164,-0.34,-0.30818,-0.09811
O=C(O)c1cccc(I(F)F)c1,0.85,-0.156,-0.26,-0.27619,-0.07835
O=C(O)c1cccc(P(=O)(F)F)c1,0.81,-0.17,-0.51,-0.30257,-0.09394
O=C(O)c1cccc(P(F)F)c1,0.49,-0.177,-0.475,-0.29176,-0.08785
O=C(O)c1cccc([Ge](F)(F)F)c1,0.85,-0.168,-0.562,-0.30654,-0.09419
O=C(O)c1cccc(S(F)(F)F)c1,0.7,-0.169,-0.294,-0.30252,-0.10269
O=C(O)c1cccc([Si](F)(F)F)c1,0.54,-0.175,-0.625,-0.29329,-0.08432
O=C(O)c1cccc(I(F)(F)(F)F)c1,1.07,-0.157,-0.343,-0.29882,-0.11081
O=C(O)c1cccc(P(F)(F)(F)F)c1,0.63,-0.176,-0.507,-0.30173,-0.09353
O=C(O)c1cccc(S(F)(F)(F)(F)F)c1,0.61,-0.163,-0.243,-0.30223,-0.0941
O=C(O)c1cccc(I)c1,0.35,-0.162,-0.227,-0.25093,-0.06861
O=Ic1cccc(C(=O)O)c1,0.58,-0.164,-0.254,-0.22323,-0.08778
O=C(O)c1cccc(I(=O)=O)c1,0.68,-0.158,-0.328,-0.26085,-0.09823
O=Nc1cccc(C(=O)O)c1,0.62,-0.173,0.017,-0.24325,-0.1239
